date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:58:07	1443/1443	---MC-	200	added ('OK')	image/png	etag:%22b5fb818ea40da120d785c349f18c74e5%22	https://framerusercontent.com/images/IQH9QSr67aIvSzNZ2HNOd19Gmek.png	C:/Users/merca/Downloads/HTTRACK/portfolio/framerusercontent.com/images/IQH9QSr67aIvSzNZ2HNOd19Gmek.png	(from https://jacobson.framer.website/)
00:58:08	2188/2188	---MC-	200	added ('OK')	image/png	etag:%2205f9fdeee3304434f55a81ce27bcdb61%22	https://framerusercontent.com/images/FTP8urkYJpZpnCLCLRujRO0khs.png	C:/Users/merca/Downloads/HTTRACK/portfolio/framerusercontent.com/images/FTP8urkYJpZpnCLCLRujRO0khs.png	(from https://jacobson.framer.website/)
00:58:08	188256/188256	---M-Z	200	added ('OK')	text/html	etag:%220ce05bc9304f076803203dae3c2058f1%22	https://jacobson.framer.website/projects/kp	C:/Users/merca/Downloads/HTTRACK/portfolio/jacobson.framer.website/projects/kp.html	(from https://jacobson.framer.website/)
00:58:08	129309/129309	---MC-	200	added ('OK')	image/png	etag:%225a3e385b0b3096720481be5685f0e992%22	https://framerusercontent.com/images/Flg2PgaCSwuo3lIKLvIEAqr1ls.png	C:/Users/merca/Downloads/HTTRACK/portfolio/framerusercontent.com/images/Flg2PgaCSwuo3lIKLvIEAqr1ls.png	(from https://jacobson.framer.website/)
00:58:09	186559/186559	---M-Z	200	added ('OK')	text/html	etag:%22375f4b31a22c2c0bd5232973033c63ed%22	https://jacobson.framer.website/projects/caps	C:/Users/merca/Downloads/HTTRACK/portfolio/jacobson.framer.website/projects/caps.html	(from https://jacobson.framer.website/)
00:58:09	314189/314189	---MC-	200	added ('OK')	image/png	etag:%2280de0850c6a6f6266045279f25ade7e8%22	https://framerusercontent.com/images/ISm9BknKTWTHjPJqfoG0jPyUZa8.png	C:/Users/merca/Downloads/HTTRACK/portfolio/framerusercontent.com/images/ISm9BknKTWTHjPJqfoG0jPyUZa8.png	(from https://jacobson.framer.website/)
00:58:13	183817/183817	---M-Z	200	added ('OK')	text/html	etag:%22cc544f0a82d2e46577c46bce940a4814%22	https://jacobson.framer.website/projects/vb	C:/Users/merca/Downloads/HTTRACK/portfolio/jacobson.framer.website/projects/vb.html	(from https://jacobson.framer.website/)
00:58:13	182238/182238	---MC-	200	added ('OK')	image/png	etag:%22453d594f8e06dc58276fc0f90952d6fb%22	https://framerusercontent.com/images/JmR9m5hZIftFglrhEnRZ0oqkCwQ.png	C:/Users/merca/Downloads/HTTRACK/portfolio/framerusercontent.com/images/JmR9m5hZIftFglrhEnRZ0oqkCwQ.png	(from https://jacobson.framer.website/)
00:58:15	183121/183121	---M-Z	200	added ('OK')	text/html	etag:%2227c6b31c7f37f7a0f0f525425f2241e2%22	https://jacobson.framer.website/projects/covzoun	C:/Users/merca/Downloads/HTTRACK/portfolio/jacobson.framer.website/projects/covzoun.html	(from https://jacobson.framer.website/)
00:58:15	146187/146187	---MC-	200	added ('OK')	image/png	etag:%2277dbd8a00f7418175b5fc7909392aed6%22	https://framerusercontent.com/images/NxXIjhBJM6jdzoIXnoLA7xfiJs.png	C:/Users/merca/Downloads/HTTRACK/portfolio/framerusercontent.com/images/NxXIjhBJM6jdzoIXnoLA7xfiJs.png	(from https://jacobson.framer.website/)
00:58:16	183718/183718	---M-Z	200	added ('OK')	text/html	etag:%225a512e9e74237d7c496df495dcd5c4ed%22	https://jacobson.framer.website/projects/snackhouse	C:/Users/merca/Downloads/HTTRACK/portfolio/jacobson.framer.website/projects/snackhouse.html	(from https://jacobson.framer.website/)
